Verse,Text
1,E̩do̩ onu dʼef o̩wo̩ Jihofa alu kʼugbo kʼomi acha de̩;
2,"O̩na du kʼone̩ ale tʼeju-wñ eju o̩la-wñ,"
3,E̩wñ o̩kpakpa eche kpʼili o̩la egwa tʼo̩kpakpa
4,"Eju eke kpai e̩do̩ uba,"
5,"Ibe kʼe̩ne̩do̩chacha akpe̩, chai e̩wñ ekubo̩ kate i ane̩ wa,"
6,E̩wñ akoko kʼukpalu olemi ako wa
7,"E̩wñ ekpo̩fo̩ e-ame̩ne̩bibi agba ma rinyo̩,"
8,"O̩na e̩ne̩ ki fʼabi je̩ mugo̩ tabale,"
9,Egugu ako unyi o̩wo̩ʼka me̩
10,Onugo e̩ne̩bibi atene e̩bie̩ne̩;
11,"E̩gba ku ma bʼo̩ko̩ ñw e̩nako̩ru, e̩nemo̩ anʼibe;"
12,E̩no̩kpakpa akpibe alu kʼunyi e̩ne̩ bibi de̩;
13,E̩ne̩ ki fʼeti chʼo̩haligbo̩ aku e̩nubie̩
14,Ele ku ma che umaja aje̩ ñw uwe̩do̩ mube̩be̩ lʼo̩wo̩ʼka;
15,"Eche e̩wñ tʼo̩kpakpa chʼuyo̩ ñw e̩no̩kpakpa,"
16,E̩ne̩ ki ale bo̩bo̩bo bʼo̩na oji e̩wñ ema te̩
17,"E̩ne̩ ki afe̩do̩ e̩wñ ube̩do̩ ofo, eku e̩wñ akʼu;"
18,"E̩ne̩bibi ma du la e̩no̩kpakpa tane̩,"
19,Edodo aje̩tachi la me̩
20,"E̩wñ akoko o̩me̩me̩le̩ kpai ekpo jʼef unyi anibe,"
21,E̩ne̩ ki atʼo̩kpakpa kpai ufe̩de̩nyo̩ ubi
22,Anibe alʼoji aku tef ewo amagbiti
23,E̩ne̩ ki fʼalu-wñ kpai ukpalu-wñ de
24,"E̩ne̩ ki aba kpai e̩ne̩ ki ache̩de̩te̩ e̩wñ odu-wñ ko̩ Eke,"
25,E̩wñ kʼe̩nejudo̩o̩ feju adʼowñ kpa
26,"I nʼe̩ne̩ ki ajakpa e̩wñ gbogbo dʼo̩jo̩,"
27,E̩wñ e̩bie̩ kʼame̩ne̩bibi kpa chʼe̩wñ ihie̩ne̩;
28,"E̩nibenu olemi alenyo̩,"
29,"E̩ne̩bibi afʼeju-wñ gbo̩ dago,"
30,"Tʼibe eñwa nyu, tʼoji e̩wñ ema,"
31,"Ma ñwʼanya che te̩ anode o̩jo̩ kʼogu achi,"
