Verse,Text
1,"O̩ma-mi, fʼo̩la-mi de"
2,"fʼuko̩ kʼu te̩ ñw e̩ de kʼe̩ deju,"
3,"fʼu ji mʼomo̩wo̩-we̩,"
4,"E̩ naka ñw ibe kakini, Uwe̩ chʼọma-ye-mi onobule̩,"
5,"kʼama le̩ ki fʼuwe̩ de bʼonobule̩ o̩wo̩ ejaduña te̩,"
6,"Todu u nyʼope̩ unyi-mi gʼo̩do̩da,"
7,"oñ u li ef ame̩nemo̩,"
8,"i alale e̩j o̩na ame̩ru amuna unyi onobule̩ le̩,"
9,"e̩gba kʼo̩jo̩ adu bulubulu, e̩gba o̩la-ne̩,"
10,"E̩ la go, onobule̩ʼka de̩ kpai owñ,"
11,"Akekale̩ kpai agbo̩go̩ i che,"
12,"e̩gbaʼka i dʼej o̩na, e̩gbaʼka i dʼoju-kpologu,"
13,"Abe̩le̩ i fʼe̩ne̩ le̩ mu, oñ i dʼalu kʼo̩ alu,"
14,"Iche̩bo̩ e̩wñ ure̩do̩ jʼugbo mi,"
15,"todule̩ oñ u dufu wa ale dʼuwe̩-i,"
16,"U fʼukpo e̩kina ku ma hi reju Ijipti,"
17,"u fu mur kpai alos kpai sinimon,"
18,"Lewa, kʼa che kʼe̩fu-wa ki ko̩ ñw ufe̩do̩ gbogbo ñw o̩jo̩;"
19,Todu e̩ne̩ke̩le̩-mi dʼunyi n;
20,i mʼalita oko-wñ du le;
21,Uko̩la e̩rinyo̩ kʼonobule̩ ka ololo le̩ je̩ ñw u je̩;
22,"Achigili i kwotʼo̩ ubi,"
23,gbogbo tak o̩fa ki legu o̩do̩-wñ du;
24,"Todule̩ amo̩ma e̩ne̩ke̩le̩, me̩ nedrʼo̩la-mi fai ke,"
25,"E̩ ki je̩ ñw e̩do̩-we̩ ki hi tʼo̩na e-wñ n,"
26,todu abo kʼi che ma agbe tak i hi uma tinyo̩ chewewe;
27,"Unyi-wñ chʼo̩na o̩jegu,"
