Verse,Text
1,"Tak i lewatu, e̩gba ki Jebin, onu Hazo̩r, gbʼinabah-wñ, i la fʼone̩ kpe̩ nyʼugbo Jobab onu Madon kpai tugbo onu Shimro̩n kpai tugbo onu Akshaf "
2,"kpai tugbo amonu ku ma jʼane̩ o̩wo̩ o̩pata ate̩ kpai oj ane̩ uwo-wñ kpai efu Araba kʼi dʼo̩wo̩ o̩pata o̩gane̩ Chine̩re̩t kpai ane̩ o̩go̩-wñ kpai otete Do̩r o̩wo̩ olane̩, "
3,tugbo abo Kenan o̩wo̩ olodudu kpai o̩wo̩ olane̩ kpai abo Amo̩r kpai abo He̩t kpai abo Pe̩re̩z kpai abo Je̩bius oj ane̩ uwo le̩ kpai abo Hifai ku ma jo̩ e̩re̩ He̩rmo̩n oj ane̩ Mizpa. 
4,"Taku ma ledufu, ama kpai abogu-ma chaka, amone̩-wñ tabale, uwewe-ma la dabe̩ne̩ kʼe̩lanyi ki dʼo̩la ohimini, ma nʼamanya kpai o̩ko̩ ogu otemeje. "
5,"Tak amonu le̩, chaka le dʼo̩la-ma, oñ ma lewa ru ugbokate, ugbo omi Me̩rom, ku ma kʼogu bʼabo Israe̩l."
6,"Taku Jihofa ka ñwu Jo̩shua kakini, E̩ ki railo ma n, todu iko-i o̩na nakʼoku-ma jo̩ ñw abo Israe̩l: e̩ ki fʼilolo e̩re̩ amanya-ma ko̩da kʼe̩ la fʼo̩ko̩ ogu-ma gujo rinyo̩. "
7,"Abe̩le̩ Jo̩shua kpai abo ogu chaka ku ma jʼugbo-wñ, lewa ugbo ma ugbo omi Me̩rom le̩ achigili, taku ma lewa abʼuma ma. "
8,"Oñ Jihofa mu ma ko nyʼabo Israe̩l o̩wo̩, taku ma gwo ma da, ma fu ma ne gbogbo wa Saido̩n elile le̩, gbogbo wa Misrefo̩t-maim, gbogbo wa o̩go̩ Mizpe o̩wo̩ olodudu; oñ ma gwo ma da gbogbo ma je̩ ñw e̩ne̩ du bo̩ deju ge̩ n. "
9,"Jo̩shua la che ma alu ki Jihofa ka ñw u; i fʼilolo e̩re̩ amanya-ma ko̩da, oñ i fʼo̩ko̩ ogu-ma gujo rinyo̩."
10,"Taku Jo̩shua mudabi tʼubi iko le̩, oñ i fu Hezo̩r du, i la nʼugbada kpa onu-wñ; todu Hezo̩r le̩ chʼoji ojane̩ ojane̩ o̩mo̩ chaka akwoubi. "
