Verse,Text
1,"Mʼumi gba bʼone̩ ki bie̩ne̩ le̩ o̩wo̩ te̩, O Jihofa;"
2,"ku ma ñwʼibe e̩bie̩ne̩ ef e̩do̩-ma,"
3,"Ma fʼukpalu-ma fa kʼi le dab ejo,"
4,"Fʼumi de bʼo̩wo̩ e̩ne̩bibi te̩, O Jihofa;"
5,"Abo ku ma ke mʼoku du maja te̩ ñw mi,"
6,"U ka ñw Jihofa kakini, Uwe̩ chʼO̩jo̩-mi;"
7,"O, Jihofa, kʼi chʼOndu, e̩ chʼukpahiu ujadu-mi,"
8,"O Jihofa, e̩ ki dʼe̩wñ kʼe̩nebibi le̩ añeju ñw owñ n;"
9,"I chʼe-oji abo ku ma donyʼumi-i,"
10,Je̩ ñw e̩ge̩ una ki wane̩ bʼuma oji ma!
11,E̩ ki je̩ ñw e̩re̩ e̩ne̩ ukpalu ki lonyane̩ ane̩-i n;
12,"Omi chema kaki Jihofa atʼe̩no̩bata ubi,"
13,Abo o̩kpakpa agogbodo̩ odu-we̩ chuu;
