Verse,Text
1,E̩wñ chi kʼabo uche̩ichi jʼalo̩fu-i?
2,"Amonu ile̩ kʼo̩la-ma dojo̩,"
3,"A ki fʼigbaligba-ma jada,"
4,"E̩ne̩ ki gugu efojale le̩ anyanyi,"
5,"E̩gbale̩i ako̩la ñw ma ef uwe̩do̩-wñ,"
6,Alu du ki de̩ omi mʼonu-mi du jo̩fe̩
7,"Alu kʼuhio̩me̩-wñ de̩, naka dufu:"
8,"Tʼumi ene oñ nakʼabo uche̩ichi chʼe̩wñ ogu-we̩ kʼe̩ je̩,"
9,"Uwe̩ anʼo̩kpa ebije kpa ma fo̩,"
10,"Todule̩, ame̩ amonu, eju-me̩ ki ne̩ ke;"
11,"Me̩ nare̩ Jihofa kpai e̩gahi,"
12,"Me̩ ki dʼalu kʼO̩ma le̩ alu tode̩gba kʼi awe̩do̩, kʼame̩ la lenyo̩ ej o̩na;"
