Verse,Text
1,"Me̩ fʼo̩ga uyo̩ chi efu Jihofa, O ame̩ ame̩no̩kpakpa!"
2,"Me̩ ki nʼumolo gogbodo̩ Jihofa,"
3,"Me̩ ki kʼeli etito̩ ñw u,"
4,Todu o̩la Jihofa chʼo̩kpakpa;
5,I afe̩do̩ e̩wñ o̩kpakpa kpai ajo̩ o̩kpakpa eka;
6,"Lugbo o̩la Jihofa oñ ma che efojale efojale,"
7,I akʼomi ohimini abadi jo̩ dab ugbudu;
8,"Ile̩ du ki narailo Jihofa,"
9,Todu eka i ka oñ i do̩mo̩;
10,Jihofa aje̩ ñw o̩la kʼabo uche̩ichi alo ki mud ibe̩te̩:
11,"O̩la ki Jihofa alo adago ogbegbele̩,"
12,"Abo ichiki Jihofa chʼO̩jo̩-ma gbede,"
13,"Jihofa dʼefojale akejuru,"
14,ugbo kʼi dodo i anyope̩ ago
15,"owñ ki abo̩ e̩do̩-ma chaka,"
16,Onu afʼo̩la-wñ jadu lugbo abogu-wñ ki wewe n;
17,"Anya egbʼone̩, chʼolemi,"
18,"Go, eju Jihofa bʼabo ku ma railo-wñ ma,"
19,"kʼi gba onugo-ma bʼuku te̩,"
20,Onugo-wa do̩mo̩ anede Jihofa;
21,"Todu e̩do̩-wa ayo̩ ef uwñ,"
22,"Ufe̩de̩nyo̩-we̩ ki bʼuwa ma, O Jihofa,"
