Verse,Text
1,Je̩ ñw mi kʼeli tod e̩nufe̩do̩-mi eli uche̩ achiwebe̩te̩ma e-e̩nufe̩do̩-mi i che:
2,"I la fʼane̩-wñ nu, oñ i fʼokuta-wñ re kwʼefu-wñ,"
3,"Oñ fa-i, ame̩ ku me̩ dodo Je̩rusale̩m kpai aboke̩le̩ Juda, nagbo̩ko̩bʼume̩ ku me̩ dale agbagba-mi"
4,E̩wñ bo̩ kʼomi ma che ñw uche̩ achiwebe̩te̩ma-mi n?
5,Fa-i tak u naka ñw me̩
6,Nache kʼi mud ikpo te̩;
7,Todu uche̩ achiwebe̩te̩ma e-Jihofa ki nʼe̩wñ du
8,"Atogwo! ñw abo ku ma kʼunyi kad omune̩,"
9,Jihofa ki nʼe̩wñ du ko̩la nyʼumi eti kakini:
10,"Todu ikpoga uche̩ achiwebe̩te̩ma me̩gwa anʼomi otube̩ meji,"
11,"Atogwo! ñw abo ku ma takpa kwane̩ odudu,"
12,Umolo kpʼumolo lile kʼi nʼiku me̩gwa kpʼ
13,Todule̩ oñ amone̩-mi lerʼef amu
14,Todule̩ oñ efu o̩jegu mula
15,"O̩ma one̩ la mu te̩kpe̩ wane̩, ukata e̩ne̩ lile muchi,"
16,"Ma muda fu Jihofa ki nʼe̩wñ du hi tʼatate̩ ef ajo̩ o̩kpakpa,"
17,"Tak amo̩mala ajo̩ ajʼije̩ dabe̩ne̩ ku ma jʼokije̩ e-ma,"
18,"Atogwo! ñw abo ku ma nʼiku olemi afʼudu wa,"
19,"kʼama kakini; I ki hiane̩ wa ke,"
20,Atogwo! ñw abo ku ma do̩ e̩bie̩ne̩ kʼe̩nyo̩
21,"Atogwo! ñw abo ku ma chʼo̩ka eju o̩la-ma,"
22,"Atogwo! ñw abo ku ma chʼamagbiti omi achiwebe̩te̩ma eñmo̩,"
23,"ku ma la dale ñw e̩ne̩bibi tod o̩ko̩ ugwa,"
24,"Todule̩, alu kʼo̩go̩ una fʼo̩kakpunu egbe lie̩ mʼane̩,"
25,"Todule̩ oñ uwe̩do̩ Jihofa mutajo bʼoji amone̩-wñ ma,"
26,"I la adʼagaliga dago ñw abo uche̩ichi ku ma jʼo̩najiji,"
27,"Uhia la ahia e̩ne̩ du ef uma n, e̩ne̩ du akʼe̩re̩ n,"
28,"o̩fa-ma ale̩,"
29,"Uka-ma ku ma nu dab ole idu,"
30,"Iko kʼa ka-i ma la akwa rʼuma oji,"
