Verse,Text
1,"O̩la ki kwʼugbo Jihofa wʼugbo Je̩re̩maya kakini, "
2,"Kwane̩, kʼe̩ gwo̩ru nyʼunyi abucha le̩, o̩mo̩ tak u naje̩ ñw e̩ gbʼo̩la-mi. "
3,"Abe̩le̩ omi gwo̩ru nyʼunyi abucha le̩, oñ i nʼuko̩lo̩-wñ ache ef anade-wñ o̩mo̩. "
4,"Oñ e̩wñ eku kʼabucha nʼama abo le̩ mukpabie̩ nyʼu o̩wʼo̩; tak i dabi nʼama le̩ bʼe̩wñ eku omune̩ ojoji, alu ki rʼabucha le̩ eju kʼi che."
5,"E̩gba le̩ o̩la Jihofa wʼugbo-mi, kakini, "
6,"O, abo unyi Israe̩l, omi neke che kpʼame̩ alu kʼabucha-i che n? Jihofa ka-i. Me̩ go, alu kʼama de̩ ef o̩wo̩ abucha, abe̩le̩ ame̩ de̩ ef o̩wo̩-mi, O abunyi Israe̩l. "
7,"Iche̩wñ kʼu ka o̩la abo uche̩ichiʼka abe̩k ojane̩ʼka achigili ka kʼu nawʼu rinyo̩, kʼu nakpʼo̩ fo̩, kʼu fʼu kpabie̩ rinyo̩, "
8,"i la che̩wñ kʼabo uche̩ichi e-kʼu nʼo̩la-ma aka le̩ rida bʼe̩wñ e̩bie̩ne̩-ma te̩, mak e̩bie̩ne̩ kʼibe-mi ka ñwu mi kʼu che ma le̩ awo̩ mi. "
9,"I la che̩wñ kʼi nʼadiko kʼu nanʼo̩la abo uche̩ichiʼka abe̩k ojane̩ʼka aka kʼomi akʼo̩, kʼu la agbe̩, "
10,"i la che̩wñ ku ma che e̩wñ ki bie̩ne̩ eju-mi, ku ma ma la gbʼomu-mi gbo̩ n, mak e̩nyo̩ kʼu ka kʼu nache ñwu ma awo̩ mi ge̩. "
11,"Fa-i, todule̩, e̩ naka ñw aboke̩le̩ Juda kpʼabo ku ma dodo Je̩rusale̩m, kakini, Abu ki Jihofa aka de̩ kakini, Go, omi do̩mo̩ añwa e̩bie̩ne̩ nyʼume̩, ibeʼka u do̩mo̩ añwa nyʼume̩. Mudabi wa, e̩ne̩ne̩ne̩ne̩-me̩ ki mudabi bʼo̩na e̩bie̩ne̩-wñ te̩, ku me̩ ñwʼo̩na-me̩ kpʼuko̩lo̩-me̩ che."
12,"Me̩ muda kakini, E-le̩ nʼo̩na n! Awa atʼe̩wñ kʼa ñw ibe-wñ ubi, oñ e̩ne̩ne̩ne̩ne̩ wa ache teju agbo̩go̩ e̩do̩-wñ ki bie̩ne̩."
13,Todule̩ abu ki Jihofa aka de̩ kakini;
14,Sno e-Le̩bano̩n akwo
15,"Todu abo-mi gbenyo̩ mi me̩,"
16,"ku ma je̩ ñw ane̩-ma mud e̩wñ ugoju,"
17,"Alu kʼafu olodudu ache le̩, abe̩le̩ omi akpʼuma tuka"
18,"Taku ma kakini, Lewa kʼa ñwa Je̩re̩maya e̩ñwa, todu uko̩-o̩la la atakpa rʼamatama efu n, ohi o̩la la atakpa rʼamanibe efu n, o̩la la atakpa rʼamakache̩ efu n. Lewa, kʼa nʼukpalu-wa kpʼo̩, kʼa la we enyʼo̩la-wñ du eti."
19,"Nyʼumi eti, O Jihofa,"
20,ma adʼe̩bie̩ne̩ chʼuro̩me̩ e̩nyo̩?
21,Todu e̩ nakʼamo̩ma-ma jo̩ ñw o̩kpo̩ta;
22,"Ukwa ki dago unyi unyi-ma,"
23,"O Jihofa, e̩ muda ma"
