Verse,Text
1,"Oñ i lewatu, e̩gba ku Je̩re̩maya fʼo̩la Jihofa, O̩jo̩-ma, du ka ñw o̩gbo̩ amone̩ le̩ kpa, owñ chʼo̩la ki Jihofa, O̩jo̩-ma, du kpe̩ Je̩re̩maya rʼuma, owñ chʼo̩la le̩ chaka, "
2,"taku Azaraya, o̩ma Hoshaya, kpai Johanan, o̩ma Kareya, kpai abo ejene̩ chaka ko̩la ñwu Je̩re̩maya kakini, Olemi e̩ ro̩; Jihofa, O̩jo̩-wa, kpʼe̩ wa kʼe̩ kakini, Ame̩ ki nyi Ijipti ku me̩ ge̩ne̩ o̩mo̩ ni n; "
3,"chai Baruk, o̩ma Ne̩raya le̩, kʼuwe̩ e̩che̩ akobʼuwa, kʼi mʼuwa du tʼo̩wo̩ abo Kaldia kʼama ki fʼuwa kpa, ku ma ko wa nyʼef amu Babilo̩n. "
4,"Abe̩le̩ Johanan, o̩ma Kareya, kpʼamagboji abogu chaka, kpʼamone̩ le̩ du ma gbʼomu Jihofa gbo̩ ku ma gugu oj ane̩ Juda n. "
5,"Johanan, o̩ma Kareya, kpʼamagboji abogu chaka, muda mʼabʼe̩bo̩bo̩ Juda ku ma mudabi bʼugbo abo uche̩ichi uche̩ichi ugbo ku ma ne ma ru le̩ te̩ ku ma ge̩ne̩ oj ane̩ Juda ko; "
6,"tʼaboke̩le̩, tʼabobule̩, tʼabimo̩to̩, tʼamo̩ma onobule̩ onu, kpʼe̩ne̩ du ku Ne̩biuzaradan, agboji abide le̩, to̩no̩ jʼugbo Ge̩dalaya, o̩ma Ahaikam, o̩ma Shefan, manyu Je̩re̩maya akache̩ kpai Baruk, o̩ma Ne̩raya. "
7,"Oñ ma lewa Ijipti, todu ma gbʼomu Jihofa gbo̩ n; oñ ma lewa Tapanhe̩s."
8,"Tak o̩la Jihofa wʼugbo Je̩re̩maya, Tapanhe̩s, kakini, "
9,"Mʼokuta lile ko nʼo̩wo̩-we̩, kʼe̩ mʼu ko maja jʼej o̩na alu unyi Fero, Tapanhe̩s kʼe̩ nʼo̩biafʼu kwo̩, eju aboke̩le̩ Juda; "
10,"kʼe̩ la ka ñwu ma kakini, Abu ki Jihofa ki nʼe̩wñ du, kʼi chʼO̩jo̩ Israe̩l, aka de̩, kakini, Me̩ go, omi akpʼonuche̩ nyʼadu Ne̩biu-kadre̩za, onu Babilo̩n, adu-mi le̩, wa, oñ nadʼede-wñ gugu oj okuta kʼu ko maja-i; owñ la afʼunyabo onu-wñ ta bʼoji okuta le̩ ma. "
11,"Tak i awa akpʼane̩ Ijipti fo̩; abo ku ma chʼe-uku aku, oñ abo ku ma chʼe-amu atef amu, oñ abo ku ma chʼe-o̩kwo̩chageli, ma ako ñw o̩kwo̩chageli. "
12,"Tak omi akʼuna ef unyi unyi amo̩jo̩ Ijipti; owñ la agu uma jo, oñ i ako ma lo tef amu; i la akʼane̩ Ijipti bʼo̩la ma, alu kʼadidala akʼukpo-wñ bʼo̩la ma; tak i akwʼo̩mo̩ dufu kpʼure̩do̩. "
13,I ñʼakpʼojibo ojibo Be̩t-shimesh kʼi jʼane̩ Ijipti fo̩; oñ i anʼuna gu unyi unyi amo̩jo̩ Ijipti jo.
