Verse,Text
1,"O̩la Je̩re̩maya, o̩ma Hilkaya, kʼi dʼef amatama ku ma jo̩ Anato̩t, oj ane̩ Be̩njamin, de̩. "
2,"Owñ chʼe̩ne̩ kʼo̩la Jihofa wʼugbo-wñ o̩kpanachi Josaya o̩ma Amo̩n onu Juda le̩, owñ chʼo̩do̩ e̩ke̩gwe̩ta kʼi jʼo̩fe̩. "
3,"I ño̩ wa o̩kpanachi Jiho̩yakim o̩ma Josaya onu Juda, gbogbo tak o̩do̩ e̩ke̩gwaka Ze̩de̩kaya o̩ma Josaya onu Juda da, gbogbo wʼe̩gba ku ma mʼabo Je̩rusale̩m ño̩ le ochu e̩ke̩lu le̩."
4,"Oñ o̩la Jihofa wʼugbo mi kakini,"
5,"O̩gba tak u fʼe̩ bo̩ tʼefu iye-we̩ u fʼe̩ ma,"
6,"Tak u kakini, Ayaa! Ondu Jihofa! Go, omi mejuma kʼo̩la n, todu imo̩to̩ u che. "
7,"Jihofa muda ka ñw mi kakini,"
8,"E̩ ki railo ma n,"
9,"Taku Jihofa fʼo̩wo̩-wñ nadala akadʼalu-mi: oñ Jihofa ka ñw mi kakini,"
10,"Go, eñini-i omi mʼo̩da abo uche̩ichi uche̩ichi kpai"
11,"Oñ o̩la Jihofa ño̩ wʼugbo mi kakini, Je̩re̩maya, e̩wñ e̩ li le̩? Tak u kakini, U che li o̩kpa oli ide. "
12,"Taku Jihofa ka ñw mi kakini, E̩ gane̩ gbe̩, todu u dʼemi ade o̩la-mi kʼu che teju-wñ."
13,"O̩la Jihofa ño̩ wʼugbo mi onu keji, kakini, E̩wñ e̩ li le̩? Oñ u kakini, U cheli ucha kʼomi dʼefu-wñ ana, ofe-wñ dubigbʼo̩wo̩ o̩pata ate̩. "
14,"Taku Jihofa ka ñw mi kakini, E̩wñ e̩bie̩ne̩ agulo̩ kwʼo̩wo̩ o̩pata ate̩ le̩ wa abʼabo du ku ma dodo ane̩-i ma. "
15,"Todu, go, edo̩ nado o̩lo̩pu o̩lo̩pu ab ojane̩ ojane̩ o̩wo̩ o̩pata ate̩ le̩ du wa, Jihofa ka-i; ama le̩ la awa, oñ e̩ne̩ne̩ne̩ne̩-ma adʼede-wñ wa dago ugbo ku ma gudu-wa alaku alaku Je̩rusale̩m, ma la akpala nyʼaku-wñ ale daka, kpai ewo ewo Juda chaka. "
16,"Tak omi akpʼoji ajo̩-ma rʼuma oji, tod e̩wñ bibi du ku ma che ku ma hi umi tinyo̩ le̩; ku ma la fʼotulale gujo ñw amo̩jo̩ omune̩, ma laño̩ dojikane̩ ñw uko̩lo̩ kʼo̩wo̩-ma onugo che. "
17,"I muda chʼuwe̩, fʼukpo-we̩ dakulu nyʼago; kwane̩, kʼe̩ la ka e̩wñ du kʼu nañwa ñw e̩ ñwu ma. E̩do̩-we̩ ki da kpu todu ma n, tode̩gba kʼomi la ache kʼe̩do̩-we̩ ki muda kpu eju-ma. "
18,"I la chʼomi, go, nadʼuwe̩ chʼewo ki nʼaku kpai ugbogaga ebije dago kpai o̩do̩ o̩do̩ ebijeikpa, nʼojane̩-i oji chaka, kpai nʼamonu Juda oji, kpai nʼamagboji-wñ oji, kpai nʼamatama-wñ oji kpai nʼamone̩ ane̩-i oji. "
19,"Ama la akʼuja bʼe̩; ma muda adʼe̩ n, todu omi dʼugbo-we̩ kʼu gbʼe̩, Jihofa ka-i."
