Verse,Text
1,“Na bayyana kaina ga waɗanda ba su tambaye ni ba;
2,Dukan yini ina miƙa hannuwana
3,mutanen da suna cin gaba da tsokanata
4,suna zama a kaburbura
5,"suna cewa, ‘Ku tsaya a can; kada ku yi kusa da ni,"
6,"“Ga shi, yana nan a rubuce a gabana cewa"
7,"saboda zunubanku da kuma zunuban kakanninku,”"
8,Ga abin da 
9,"Zan fitar da zuriyar Yaƙub,"
10,"Sharon zai zama wurin kiwo don shanu,"
11,“Amma game da ku waɗanda kuka yashe 
12,"zan ƙaddara ku ga kaifin takobi,"
13,Saboda haka ga abin da 
14,Bayina za su rera
15,Za ku bar sunanku
16,Duk wanda zai roƙi albarka a cikin ƙasar
17,"“Ga shi, na halicci"
18,Amma ku yi murna ku kuma yi farin ciki har abada
19,Zan yi farin ciki a kan Urushalima
20,“A cikinta ba za a ƙara jin
21,Za su gina gidaje su kuma zauna a cikinsu;
22,"Ba za su ƙara gina gidaje waɗansu kuma su zauna a cikinsu ba,"
23,Ba za su yi wahala a banza ba
24,Kafin su yi kira zan amsa;
25,"Kyarketai da ’yan raguna za su ci abinci tare,"
