Verse,Text
1,"“Ki rera, ya ke bakararriya,"
2,"“Ki fadada wurin tentinki,"
3,Gama za ki fadada zuwa dama da hagu;
4,“Kada ki ji tsoro; ba za ki sha kunya ba.
5,"Gama Mahaliccinki shi ne mijinki,"
6, 
7,"“Gama a ɗan ƙanƙanen lokaci na rabu da ke,"
8,Cikin fushi mai zafi
9,"“A gare ni wannan ya yi kamar kwanakin Nuhu,"
10,Ko da duwatsu za su girgiza
11,"“Ya ke birni mai shan azaba, wadda hadari ya bulale ki ba a kuma ta’azantar da ke ba,"
12,"Zan gina hasumiyarki da jan yakutu,"
13, 
14,Da adalci za a kafa ke.
15,"In wani ya far miki, ba daga wurina ba ne;"
16,"“Duba, ni ne wanda na halicci maƙeri"
17,"ba makamin da aka ƙera don yă cuce ki da zai yi nasara,"
