Verse,Text
1,"Nụrụ ekpere m, O "
2,Ezonarịla m ihu gị
3,"Nʼihi na ụbọchị m niile na-agabiga, dịka anwụrụ ọkụ;"
4,Mkpụrụobi m etiwaala abụọ na-achanwụkwa dịka ahịhịa;
5,"Nʼihi oke ịsụ ude m na-asụ,"
6,"Adị m ka ikwighịkwighị nke ọzara,"
7,Ana m amụ anya abalị niile;
8,"Ụbọchị niile, ndị iro m na-eji m eme ihe ọchị;"
9,"Nʼihi na ejirila m ntụ mere ihe oriri m,"
10,"nʼihi oke iwe gị,"
11,Ụbọchị m niile dịka onyinyo nke a na-ahụ anya mgbe anwụ na-ada.
12,Ma gị 
13,"Ị ga-ebili nwee ọmịiko nʼebe Zayọn nọ,"
14,Nʼihi na nkume ya niile dị oke ọnụahịa nye ndị ohu gị;
15,Mba niile ga-atụ egwu aha 
16,Nʼihi na 
17,Ọ ga-aza ekpere ndị nọ na mkpa;
18,"Ka e depụta ihe ndị a maka ọgbọ nke dị nʼihu,"
19,“
20,ịnụ ịsụ ude nke ndị a tụrụ mkpọrọ
21,"Nʼihi nke a, a ga-ekwuwapụta aha "
22,"mgbe mba niile na alaeze niile,"
23,O meela ka ike gwụ m nʼoge ndụ m;
24,"Nʼihi ya, ekwuru m sị,"
25,"Na mmalite, ị tọrọ ntọala ụwa,"
26,"Ha ga-ala nʼiyi, ma ị ga-adịgide;"
27,"Ma gị onwe gị enweghị mgbanwe,"
28,Ụmụ ndị ohu gị ga-ebigide;
