Verse,Text
1,Ọ bụ naanị nʼime Chineke ka mkpụrụobi m na-achọta izuike.
2,Naanị ya bụ oke nkume m na nzọpụta m;
3,Ruo ole mgbe ka unu ga-anọgide na-ebuso agha megide nwoke a?
4,Ha ekpebiela
5,"O mkpụrụobi m, chọta ezumike naanị nʼime Chineke;"
6,"Naanị ya bụ oke nkume m, na onye nzọpụta m."
7,"Nzọpụta m na nsọpụrụ m dabeere na Chineke,"
8,"Tụkwasịnụ ya obi mgbe niile, unu ndị mmadụ;"
9,"Ndị nta nʼetiti ụmụ mmadụ bụ naanị otu nkuume,"
10,"Unu atụkwasịla obi unu nʼiji aka ike kpata ego,"
11,"Chineke ekwuola otu ihe,"
12,"na gị, Onyenwe anyị, jupụtara nʼịhụnanya."
