Verse,Text
1,"O Chineke, jiri aha gị zọpụta m;"
2,"O Chineke, nụrụ ekpere m;"
3,Ndị m na-amaghị na-ebuso m agha;
4,"Nʼezie, Chineke bụ onye inyeaka m;"
5,Mee ka ihe ọjọọ lọghachikwute ndị na-ekwulu m;
6,Aga m eji onyinye afọ ofufu chụọrọ gị aja;
7,"Nʼihi na ọ gbapụtala m site na nsogbu m niile,"
